Name,ID,Description,Tecs Addressed by Mitigation
 Exploit Protection , M1050 ,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,"['Drive-by Compromise', 'Exploit Public-Facing Application', 'Exploitation for Client Execution', 'Exploitation for Credential Access', 'Exploitation for Defense Evasion', 'Exploitation for Privilege Escalation', 'Exploitation of Remote Services', 'Signed Binary Proxy Execution', 'Taint Shared Content']"
 Filter Network Traffic , M1037 ,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.,"['BITS Jobs', 'Data from Cloud Storage Object', 'Data from Configuration Repository', 'Endpoint Denial of Service', 'Exfiltration Over Alternative Protocol', 'Forced Authentication', 'Lateral Tool Transfer', 'Man-in-the-Middle', 'Network Boundary Bridging', 'Network Denial of Service', 'Non-Application Layer Protocol', 'Protocol Tunneling', 'Proxy', 'Remote Access Software', 'Traffic Signaling', 'Transfer Data to Cloud Account', 'Unsecured Credentials']"
 Limit Access to Resource Over Network , M1035 ,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.","['External Remote Services', 'Hardware Additions', 'Man-in-the-Middle']"
 Limit Hardware Installation , M1034 ,"Block users or groups from installing or using unapproved hardware on systems, including USB devices.","['Exfiltration Over Physical Medium', 'Hardware Additions', 'Replication Through Removable Media']"
 Limit Software Installation , M1033 ,Block users or groups from installing unapproved software.,"['Browser Extensions', 'Create or Modify System Process']"
 Multi-factor Authentication , M1032 ,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.,"['Account Manipulation', 'Brute Force', 'Create Account', 'Data from Cloud Storage Object', 'Email Collection', 'External Remote Services', 'Modify Authentication Process', 'Modify System Image', 'Network Boundary Bridging', 'Network Sniffing', 'Remote Services', 'Software Deployment Tools', 'Steal Web Session Cookie']"
 Network Intrusion Prevention , M1031 ,Use intrusion detection signatures to block traffic at network boundaries.,"['Application Layer Protocol', 'Data Encoding', 'Data from Configuration Repository', 'Data Obfuscation', 'Data Transfer Size Limits', 'Dynamic Resolution', 'Encrypted Channel', 'Exfiltration Over Alternative Protocol', 'Exfiltration Over C2 Channel', 'Fallback Channels', 'Ingress Tool Transfer', 'Lateral Tool Transfer', 'Man-in-the-Middle', 'Multi-Stage Channels', 'Network Service Scanning', 'Non-Application Layer Protocol', 'Non-Standard Port', 'Phishing', 'Protocol Tunneling', 'Proxy', 'Remote Access Software', 'Scheduled Transfer', 'Template Injection', 'User Execution', 'Web Service']"
 Network Segmentation , M1030 ,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems.","['Account Manipulation', 'Create Account', 'Data from Configuration Repository', 'Data Manipulation', 'Domain Trust Discovery', 'Exfiltration Over Alternative Protocol', 'Exploit Public-Facing Application', 'Exploitation of Remote Services', 'External Remote Services', 'Man-in-the-Middle', 'Network Service Scanning', 'Non-Application Layer Protocol', 'Non-Standard Port', 'Remote Service Session Hijacking', 'Service Stop', 'Software Deployment Tools', 'Trusted Relationship']"
 Operating System Configuration , M1028 ,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,"['Abuse Elevation Control Mechanism', 'Account Discovery', 'Account Manipulation', 'BITS Jobs', 'Communication Through Removable Media', 'Create Account', 'Exfiltration Over Other Network Medium', 'Inhibit System Recovery', 'Modify Authentication Process', 'Network Share Discovery', 'OS Credential Dumping', 'Scheduled Task/Job', 'Subvert Trust Controls', 'Unsecured Credentials']"
 Password Policies , M1027 ,Set and enforce secure password policies for accounts.,"['Brute Force', 'Credentials from Password Stores', 'Forced Authentication', 'Modify System Image', 'Network Boundary Bridging', 'OS Credential Dumping', 'Password Policy Discovery', 'Software Deployment Tools', 'Steal or Forge Kerberos Tickets', 'Transfer Data to Cloud Account', 'Unsecured Credentials', 'Valid Accounts']"
 Pre-compromise , M1056 ,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques.","['Acquire Infrastructure', 'Active Scanning', 'Compromise Accounts', 'Compromise Infrastructure', 'Develop Capabilities', 'Establish Accounts', 'Gather Victim Host Information', 'Gather Victim Identity Information', 'Gather Victim Network Information', 'Gather Victim Org Information', 'Obtain Capabilities', 'Search Closed Sources', 'Search Open Technical Databases', 'Search Open Websites/Domains', 'Search Victim-Owned Websites']"
 Privileged Account Management , M1026 ,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.","['Abuse Elevation Control Mechanism', 'Access Token Manipulation', 'Account Manipulation', 'Command and Scripting Interpreter', 'Create Account', 'Exploit Public-Facing Application', 'Exploitation of Remote Services', 'File and Directory Permissions Modification', 'Firmware Corruption', 'Implant Container Image', 'Inter-Process Communication', 'Modify Authentication Process', 'Modify System Image', 'Network Boundary Bridging', 'OS Credential Dumping', 'Pre-OS Boot', 'Process Injection', 'Remote Service Session Hijacking', 'Scheduled Task/Job', 'Server Software Component', 'Signed Binary Proxy Execution', 'Software Deployment Tools', 'Steal or Forge Kerberos Tickets', 'System Services', 'Unsecured Credentials', 'Use Alternate Authentication Material', 'Valid Accounts', 'Windows Management Instrumentation']"
 Privileged Process Integrity , M1025 ,"Protect processes with high privileges that can be used to interact with critical system components through use of protected process light, anti-process injection defenses, or other process integrity enforcement measures.","['Modify Authentication Process', 'OS Credential Dumping']"
 Remote Data Storage , M1029 ,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.,"['Automated Collection', 'Data Manipulation', 'Indicator Removal on Host', 'Software Deployment Tools']"
 Restrict File and Directory Permissions , M1022 ,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.,"['Abuse Elevation Control Mechanism', 'Boot or Logon Initialization Scripts', 'Create or Modify System Process', 'Data from Cloud Storage Object', 'Data Manipulation', 'File and Directory Permissions Modification', 'Hijack Execution Flow', 'Impair Defenses', 'Indicator Removal on Host', 'Masquerading', 'Service Stop', 'System Services', 'Taint Shared Content', 'Unsecured Credentials']"
 Restrict Library Loading , M1044 ,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,['Hijack Execution Flow']
 Restrict Registry Permissions , M1024 ,Restrict the ability to modify certain hives or keys in the Windows Registry.,"['Boot or Logon Initialization Scripts', 'Hijack Execution Flow', 'Impair Defenses', 'Modify Registry', 'Service Stop', 'Subvert Trust Controls']"
 Restrict Web-Based Content , M1021 ,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.","['Command and Scripting Interpreter', 'Drive-by Compromise', 'Dynamic Resolution', 'Exfiltration Over Web Service', 'Phishing', 'Steal Application Access Token', 'User Execution', 'Web Service']"
 Software Configuration , M1054 ,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.,"['Data from Configuration Repository', 'Inter-Process Communication', 'Office Application Startup', 'Steal Web Session Cookie', 'Subvert Trust Controls', 'Unused/Unsupported Cloud Regions']"
 SSL/TLS Inspection , M1020 ,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.,"['Encrypted Channel', 'Proxy']"
 Threat Intelligence Program , M1019 ,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.,"['Exploitation for Credential Access', 'Exploitation for Defense Evasion', 'Exploitation for Privilege Escalation', 'Exploitation of Remote Services']"
 Update Software , M1051 ,Perform regular software updates to mitigate exploitation risk.,"['Data from Configuration Repository', 'Drive-by Compromise', 'Exploit Public-Facing Application', 'Exploitation for Credential Access', 'Exploitation for Defense Evasion', 'Exploitation for Privilege Escalation', 'Exploitation of Remote Services', 'Firmware Corruption', 'Hijack Execution Flow', 'Office Application Startup', 'Pre-OS Boot', 'Software Deployment Tools', 'Supply Chain Compromise', 'Unsecured Credentials']"
 User Account Control , M1052 ,Configure Windows User Account Control to mitigate risk of adversaries obtaining elevated process access.,"['Abuse Elevation Control Mechanism', 'Hijack Execution Flow', 'Trusted Relationship']"
 User Account Management , M1018 ,"Manage the creation, modification, use, and permissions associated to user accounts.","['Access Token Manipulation', 'BITS Jobs', 'Brute Force', 'Cloud Infrastructure Discovery', 'Cloud Service Dashboard', 'Create or Modify System Process', 'Data from Cloud Storage Object', 'Data from Information Repositories', 'Group Policy Modification', 'Hijack Execution Flow', 'Impair Defenses', 'Man in the Browser', 'Modify Cloud Compute Infrastructure', 'Remote Service Session Hijacking', 'Remote Services', 'Scheduled Task/Job', 'Service Stop', 'Software Deployment Tools', 'Steal Application Access Token', 'System Services', 'Transfer Data to Cloud Account', 'Use Alternate Authentication Material', 'Windows Management Instrumentation']"
 User Training , M1017 ,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.","['Browser Extensions', 'Data from Information Repositories', 'Man in the Browser', 'Man-in-the-Middle', 'OS Credential Dumping', 'Phishing', 'Phishing for Information', 'Software Deployment Tools', 'Steal Application Access Token', 'Steal Web Session Cookie', 'Template Injection', 'Two-Factor Authentication Interception', 'Unsecured Credentials', 'User Execution']"
 Vulnerability Scanning , M1016 ,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.,"['Exploit Public-Facing Application', 'Exploitation of Remote Services', 'Supply Chain Compromise']"
